sourceFile,sheetName,rowNumber,positionNumber,description,unit,quantity,unitPrice,total,calculationText,confidence,issues
2 faqe.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
2 faqe.xlsx,Sheet1,11,,"IV.PUNIMËT E KONSTRUKSIONIT METALIKE DHE ZDRUKTHTARIS (S= 16,0m²)",,,,,,0.56,"missing_position_number,missing_calculation"
2 faqe.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
2 faqe.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
2 faqe.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
2 faqe.xlsx,Sheet1,17,4.1,Punimi i konstruksionit te kabines nga profilet e celikut e specifikuar ne llogarine statike. per konstruksionin e kabinese.Celiku duhet te montohet ne perputhje me normat dhe standardet e parapara per keto punime. Kualiteti i celikut dhe saldimit te behet ne perputhje me ISO standardet. Testet e materialit dhe punes jane te domosdoshme. Konstruksioni i celikut lyhet me ngjyre antikoorduese minimum dhe ngjyre per hekur. Llog. ne kg,kg,1516.52,1.5,2274.77,1516.52 x 1.50 = 2274.77,0.84,calculation_mismatch
2 faqe.xlsx,Sheet1,24,4.2,"Blerja,furnizimi me material , dhe vendosja e mbuleses nga lamarina me termoizolim panel d=5 cm e brinjezuar me plastifikim ne pjesen e anexit dhe mveshja e pjeseve vertikale e mureve ,te pjerta dhe atikes se strehes , Llamarina duhet të jenë të sheshta , pa demtuara dhe të kualitetit të lartë.Dizajnin dhe ngjyren e percakton Investitori Në ҫmim përfshihet edhe vendosja e e mbrojteseve te rreshqitjes se borest të përforcuar me bulona ,Llogaritja për m2 të sipërfaqes se pjerte.",m2,53.64,25,1341,53.64 x 25.00 = 1341.00,0.84,
3 faqe.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
3 faqe.xlsx,Sheet1,11,,V. PUNIMET TË TJERA,,,,,,0.56,"missing_position_number,missing_calculation"
3 faqe.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
3 faqe.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
3 faqe.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
3 faqe.xlsx,Sheet1,16,5.1,"Furnizimi, transporti dhe punimi i dyshemeve e të kabines me nivelizim nga betoni gjysem i terur me punim te shtresave termoizolues nga stiroduri dhe shtresave tjera sipas standardeve . Ne kalkulim te perfshihen edhe punimi i Lminatit llajsneve perimetrike , si dhe te gjitha materialet dhe elementet e nevojshme per montimin e dyshemes . Llog. ne m²",m,16.5,16,264,16.50 x 16.00 = 264.00,0.84,
3 faqe.xlsx,Sheet1,23,5.2,"Furnizimi, transporti dhe montimi i nje pjese te murit mr llamarin te plastifikuae Në çmim te parashifet edhe punimi i nen konstruksionit nga profilet metalikee të muri I atikes h=1.0 m me drrasa te punuara d=16 mm me mveshje nga llamarina. Në çmim te parashifen edhe mjetet lidhes si dhe platforma punueseLlog. ne m²",m,5,30,150,5.00 x 30.00 = 150.00,0.84,
3 faqe.xlsx,Sheet1,28,5.3,"Furnizimi me material si dhe montimi i ulëseve me gjatësi të caktuar dei ne 10 m dhe gjerësi 400 mm nga druri. Në çmim duhet të parashihet edhe ankerimi per dysheme . Në çmim parashihet edhe lyerja me material për mbrojtje kundër lagështisë, insekteve, këpurdhave si dhe lyerja përfundimtare. Punëkryesi obligohet që para vurjes në veper të marr aprovomin nga ana e organit mbikëqyrës si dhe gjithashtu paraprakisht të prezentoj çertifikatat dhe atestet e nevojshme për aprovim nga ana e organit mbikëqyrës. Lloji i ulëseve duhet të jetë i patentuar dhe i çertifikuar",m,10,65,650,10.00 x 65.00 = 650.00,0.84,
4 faqe.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
4 faqe.xlsx,Sheet1,11,,V. PUNIMET TË TJERA,,,,,,0.56,"missing_position_number,missing_calculation"
4 faqe.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
4 faqe.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
4 faqe.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
5 faqe.xlsx,Sheet1,9,,PARAMASA DHE PARALLOGARITJA E PUNIMËVE TË RENOVIMIT,,,,,,0.56,"missing_position_number,missing_calculation"
5 faqe.xlsx,Sheet1,10,,TE ZYREVE ADMINISTRATIVE TË PENSIONEVE NË GJILAN,,,,,,0.56,"missing_position_number,missing_calculation"
5 faqe.xlsx,Sheet1,11,,XII. TRUPAT NGROHES/FTOHES,,,,,,0.56,"missing_position_number,missing_calculation"
5 faqe.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
5 faqe.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
5 faqe.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
5 faqe.xlsx,Sheet1,17,12.5,"Fitingu për gypat e kondenzatit si mbajtësat, kthesat, tegeli, gasi për saldim etj. është 40% nga pozicioni i gypave 4",,0.4,25,10,0.40 x 25.00 = 10.00,0.84,
5 faqe.xlsx,Sheet1,24,12.6,Kablla per furnizim me rryme 5x2.5 mm,,4,1,4,4.00 x 1.00 = 4.00,0.84,
5 faqe.xlsx,Sheet1,31,12.7,Kablla per furnizim me rryme 3x2.5 mm,,4,1,4,4.00 x 1.00 = 4.00,0.84,
5 faqe.xlsx,Sheet1,36,12.8,Mbajtese te klimes,,1,40,40,1.00 x 40.00 = 40.00,0.84,
5 faqe.xlsx,Sheet1,42,12.9,Montimi dhe leshimi ne pune,,1,50,50,1.00 x 50.00 = 50.00,0.84,
Faqja 1.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 1.xlsx,Sheet1,11,,I. PUNËT PËRGATITORE,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 1.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 1.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 1.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 1.xlsx,Sheet1,17,1.1,"Shënimi I kantierit me shenja rreziku në zonat ku do të punohet te Rinovimit te objektit sipas projektit detal ,gjatë kohës sa zgjatin punimet. Llog. në komplet",komplet,1,50,50,1.00 x 50.00 = 50.00,0.84,
Faqja 1.xlsx,Sheet1,24,1.2,"Identifikimi dhe dislokimi i instalimeve egzistuese (ujesjelles, kanalizimi,instalime makineris. instalimet rrymes, instalimet telefonise dhe internetit), piketimi dhe regjistrimi në ditarin ndërtimor, me qellim të evitimin parandalimin dëmtimeve eventuale mund të ndikojë në rrezikimin e personelit, Në këtë pozicion përfshihet edhe plani I situacionit të rrjetit ekzistues me qellim që të hartohet plani i veprimit për shkyqje dhe demolim të rrjetit ekzistues pastrimin e terenit dhe pregaditjen e kushteve teknike të përgjithshme për ndërtimin dhe rinovimin e kthinave te cilat do te trajtohen Llog. në komplet",komplet,1,25,25,1.00 x 25.00 = 25.00,0.84,
Faqja 1.xlsx,Sheet1,29,1.3,"Furnizimi me amballazh mbrojtës dhe paketimi me kujdes i gjësendeve me vlerë në zonë ku do të rinovohet, duke përfshirë bartjen dhe lëvizjen e mobiljeve ekzistuese duke u kujdesur që mos të dëmtohen dhe pastaj të kthehen në gjendjes të mëparshme pas përfundimit të punimeve. Vërejtje: Çdo dëmtim evetual i gjërave me vlerë të mobiljeve gjatë zhvendosjes/lëvizjes nga pakujdesia e punëtorve mbetet përgjegjësi e Operatorit Ekonomik që ta kompenzoj dëmin.",,1,25,25,1.00 x 25.00 = 25.00,0.84,
Faqja 2.xlsx,Sheet1,9,,"PARAMASA DHE PARALLOGARITJA E PUNIMËVE DEPARTAMENTI I SKEMAVE SOCIALE LAGJA ,, QAFA'' p.n. PRISHTINE",,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 2.xlsx,Sheet1,11,,II. PUNËT E DEMOLIMIT,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 2.xlsx,Sheet1,13,,Njësia matëse €,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 2.xlsx,Sheet1,14,,Unit of measurement € EURO,,,,,,0.56,"missing_position_number,missing_calculation"
Faqja 2.xlsx,Sheet1,15,,A =,,,,,,0.56,"missing_position_number,missing_calculation"
